,Lin-_1,Lin-_2,MNC_1,MNC_2
200076_s_at,711.395649,708.7881226,624.5439285,602.9012012
200077_s_at,9373.863134,8816.727399,13521.69792,12681.82491
200078_s_at,924.7707053,916.2168706,2728.904259,2502.317608
200079_s_at,2930.742807,2958.747043,1596.385559,1435.883974
200080_s_at,12559.9079,12387.72044,17207.9205,15666.29097
200081_s_at,18676.57697,18073.88512,17470.57721,16178.14793
200082_s_at,12780.02947,12362.22291,9362.187172,8610.318142
200083_at,3274.161215,2892.628014,1891.377424,1543.793317
200084_at,1173.510584,1080.090078,1105.340042,981.4945426
200085_s_at,3779.979845,3441.530434,3531.214845,3093.800392
200086_s_at,3757.014295,3517.827626,3156.13485,2792.538266
200087_s_at,4428.626124,4378.080943,4276.02052,3630.301336
200088_x_at,19832.58517,19573.70927,16191.57368,15244.27801
200089_s_at,21923.39463,21623.84472,18632.58118,17770.37906
200090_at,3871.881099,3619.162179,3657.540923,3094.755041
200091_s_at,13266.88294,12018.93312,12087.98736,10939.15918
200092_s_at,26946.08971,26897.02362,26811.07883,25698.15655
200093_s_at,9430.691941,8733.621324,4937.03331,4238.369866
200094_s_at,16181.19066,15365.4185,12529.86372,11129.69551
200095_x_at,26787.54602,26397.1602,24421.17143,22959.60293
200096_s_at,2541.067558,2314.934529,5015.304041,4405.796186
200097_s_at,6092.281329,5961.129695,6152.056424,5057.025389
200098_s_at,4933.45621,4787.596133,3496.941737,2995.392032
200099_s_at,25670.55395,26200.43326,25215.41118,24717.67326
200593_s_at,4800.453642,4159.661683,3523.111463,3123.467915
200594_x_at,7889.630826,6997.177505,6418.102914,5219.436198
200595_s_at,6288.283483,5630.179594,4365.716432,3461.368523
200596_s_at,1045.121459,966.1890675,480.8082798,507.3349967
200597_at,1248.264064,1198.698746,711.3308843,665.97717
200598_s_at,944.6552118,887.8272203,554.9711263,566.8741292
200599_s_at,3950.340427,3441.458225,2493.068695,2301.383129
200600_at,3633.569281,3343.009778,5866.892549,5124.869184
200601_at,660.1190701,654.4936831,756.7861979,722.7479323
200602_at,2045.894961,1782.556651,1798.705734,1483.200879
200603_at,1468.635859,1406.039993,3088.838984,2348.935363
200604_s_at,244.0169703,244.0489888,431.1076697,427.9008238
200605_s_at,555.2301019,500.4292438,1554.541043,1158.010008
200606_at,14.97521487,20.16884364,32.84213015,24.97494286
200607_s_at,208.9239194,220.2671299,241.39144,257.7299512
200608_s_at,1370.296549,1438.523251,1937.660621,1712.491397
200609_s_at,1213.416403,1191.449949,1603.374992,1491.040208
200610_s_at,4160.004744,3858.596638,1847.089387,1585.851589
200611_s_at,840.9943392,776.1944852,1219.596481,1213.477896
200612_s_at,1133.597565,1066.989547,761.4176769,727.2201539
200613_at,1416.842049,1400.887678,1198.157923,1171.726228
